international_id,name_en,name_cn
2001,DAMREY,达维
2002,LONGWANG,龙王
2003,KIROGI,鸿雁
2004,KAI-TAK,启德
2005,TEMBIN,天秤
2006,BOLAVEN,布拉万
2007,CHANCHU,珍珠
2008,JELAWAT,杰拉华
2009,EWINIAR,艾云尼
2010,BILIS,碧利斯
2011,KAEMI,格美
2012,PRAPIROON,派比安
2013,MARIA,玛莉亚
2014,SAOMAI,桑美
2015,BOPHA,宝霞
2016,WUKONG,悟空
2017,SONAMU,清松
2018,SHANSHAN,珊珊
2019,YAGI,摩羯
2020,XANGSANE,象神
2021,BEBINCA,贝碧嘉
2022,RUMBIA,温比亚
2023,SOULIK,苏力
2024,CIMARON,西马仑
2025,CHEBI,飞燕
2026,DURIAN,榴莲
2027,UTOR,尤特
2028,TRAMI,潭美
2029,KONG-REY,康妮
2030,YUTU,玉兔
2031,TORAJI,桃芝
2032,MAN-YI,万宜
2033,USAGI,天兔
2034,PABUK,帕布
2035,WUTIP,蝴蝶
2036,SEPAT,圣帕
2037,FITOW,菲特
2038,DANAS,丹娜丝
2039,NARI,百合
2040,VIPA,韦帕
2041,FRANCISCO,范斯高
2042,LEKIMA,利奇马
2043,KROSA,罗莎
2044,HAIYAN,海燕
2045,PODUL,杨柳
2046,LINGLING,玲玲
2047,KAJIKI,剑鱼
2048,FAXAI,法茜
2049,TAPAH,塔巴
2050,MITAG,米娜
2051,HAGIBIS,海贝思
2052,NOGURI,浣熊
2053,RAMMASUN,威马逊
2054,CHATAAN,查特安
2055,HALONG,夏浪
2056,NAKRI,娜基莉
2057,FENGSHEN,风神
2058,KALMAEGI,海鸥
2059,FUNG-WONG,凤凰
2060,KAMMURI,北冕
2061,PHANFONE,巴蓬
2062,VONGFONG,黄蜂
2063,RUSA,鹿莎
2064,SINLAKU,森拉克
2065,HAGUPIT,黑格比
2066,CHANGMI,蔷薇
2067,MEKKHALA,米克拉
2068,HIGOS,海高斯
2069,BAVI,巴威
2070,MAYSAK,美莎克
2071,HAISHEN,海神
2072,POULASAN,红霞
2073,MINDULLE,蒲公英
2074,DOLPHIN,海豚
2075,MAN-YI,万宜
2076,KOMPASU,圆规
2077,NAMTHEUN,南川
2078,MALOU,玛瑙
2079,MERANTI,莫兰蒂
2080,RAI,雷伊
2081,MALAKAS,马勒卡
2082,MEGI,鲇鱼
2083,CHABA,暹芭
2084,AERE,艾利
2085,SONGDA,桑达
2086,SARIKA,莎莉嘉
2087,HAIMA,海马
2088,MEARI,米雷
2089,MA-ON,马鞍
2090,TOKAGE,蝎虎
